,Dis No,Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Location,Origin,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
2352,2016-0086-USA,2016,Meteorological,Storm,Convective storm,Severe storm,"Texas, Mississippi, Louisiana, Florida provinces",,,,2016,3,17,2016,3,18,1
2353,2016-0087-USA,2016,Meteorological,Storm,Convective storm,Severe storm,"Texas, Oklahoma, Louisiana, Arkansas, Mississippi, Alabama, Florida provinces",,,,2016,3,22,2016,3,25,
2354,2016-0124-USA,2016,Hydrological,Flood,Flash flood,,"Fayette, Grimes, Harris, Parker counties, Houston districts (Texas province)",Torrential rrains,,,2016,4,16,2016,4,19,9
2355,2016-0183-USA,2016,Hydrological,Flood,,,"Texas, Oklahoma, Arkansas, Kansas, Nebraska provinces",Heavy rain,308.574,-955.37,2016,5,27,2016,6,2,15
2356,2016-0181-USA,2016,Meteorological,Storm,Convective storm,Hail,"Houston district (Texas province), Brenham city (Washington district, Texas province); Montana, Kansas, Missouri, Colorado",,,,2016,5,21,2016,5,28,9
2357,2016-0085-USA,2016,Meteorological,Storm,Convective storm,Severe storm,"California, Lousiana, Texas, Arkansas, Tennessee, Mississippi, Alabama, Oklahoma, Kentucky, Ohio provinces",,,,2016,3,4,2016,3,12,7
2358,2016-0010-USA,2016,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Washington D.C. (District of Columbia district, District of Columbia province), New York, New Jersey, Pennsylvania, Maryland, Virginia, Tennessee, Kentucky, Delaware, West Virginia, Georgia, North Carolina provinces",,,,2016,1,23,2016,1,26,50
2359,2016-0051-USA,2016,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Alabama, Mississippi, Virginia provinces",,,,2016,2,22,2016,2,25,10
2363,2016-0493-USA,2016,Geophysical,Earthquake,Ground movement,,Cushing (Oklahoma),,35.991,-96.803,2016,11,7,2016,11,7,
2364,2016-0355-USA,2016,Meteorological,Storm,Tropical cyclone,,"Florida, Georgia, South Carolina, North Carolina, Virginia provinces",,,,2016,10,7,2016,10,9,49
2365,2016-0206-USA,2016,Climatological,Wildfire,Forest fire,,California province,"Combination of heat, extented drought and gusty winds",,,2016,6,25,2016,6,26,
2366,2016-0264-USA,2016,Climatological,Wildfire,Forest fire,,"Los Angeles, San Francisco districts (California province)",Drought,,,2016,7,24,2016,8,1,2
2367,2016-0297-USA,2016,Climatological,Wildfire,Forest fire,,"Lower Lake, Clearlake (Lake district, California province)",,,,2016,8,13,2016,8,16,
2368,2016-0463-USA,2016,Climatological,Wildfire,Forest fire,,"Gatlinburg city (Sevier district, Tennessee province)",,,,2016,11,28,2016,12,2,14
2369,2016-0170-USA,2016,Hydrological,Flood,,,"Palestine city (Anderson district, Texas province), Houston district (Texas province)",,,,2016,4,30,2016,4,30,11
2370,2016-0292-USA,2016,Hydrological,Flood,,,"Louisiana, Mississippi, Missouri, Illinois, Indiana; Allamakee, Clayton, Fayette, Howard, Winneshiek counties (Iowa)",Heavy rains,29.988,-91.8,2016,8,9,2016,8,16,13
2542,2016-0521-USA,2016,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"Northern (Missouri, Maryland, Oklahoma, Indiana, Michigan, New Mexico, Ohio, Virginia)",,,,2016,12,13,2016,12,19,22
2543,2016-0550-USA,2016,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,"Texas, Oklahoma, Kansas, Missouri, Nebraska, Illinois, Indiana, Kentucky, Ohio",,,,2016,4,24,2017,4,28,6
2544,2016-0552-USA,2016,Hydrological,Flood,,,"Texas, Louisiana (Shreveport, Haugton), Arkansas, Mississipi",,,,2016,3,8,2016,3,13,5
2546,2017-0039-USA,2017,Meteorological,Storm,Convective storm,Winter storm/Blizzard,"California, Nevada, Idaho, Colorado, Utah, Oregon states",,,,2017,1,6,2017,1,13,3
2548,2017-0136-USA,2017,Hydrological,Flood,,,"East and West Canton (Van Zandt county) (Texas); Kampville (St Charles) (Missouri); Logan, Marion, Miles Station (Macoupin), Sumner (Lawrence), Pawnee (Sangamon) (Illinois); Natural Dam (Crawford), Mississipi, Clay (Arkansas); Oak ridge (Morehouse) (Louisiana) ; Labette (Kansas); Cameron (Le Flore) (Oklahoma); Goshen (Oldham) (Kentucky) ; Ohio; Pennsylvania; West Virginia ; Mississipi ; Alabama ; Tennesse ; Indiana",,,,2017,4,28,2017,5,1,20
