StateCode,Year,projectamount
OH,2000,4305644.49
OH,2001,7611296.84
OH,2003,57273820.46
OH,2004,61913327.89
OH,2005,140733756.5
OH,2006,9563817.55
OH,2007,13888608.22
OH,2008,61172087.96
OH,2011,43743233.34
OH,2012,22035744.51
OH,2013,23386404.46
OH,2018,74772416.83
OH,2019,49766900
OH,2020,29744371.38
OK,1999,43665771.72
OK,2000,3626790.16
OK,2001,201384114.8
OK,2002,142777915.1
OK,2003,11234233.12
OK,2005,12463123.57
OK,2006,12774270.19
OK,2007,301525443.8
OK,2008,55202463.94
OK,2009,13711940.74
OK,2010,193865116
OK,2011,25869829.69
OK,2012,3861884.36
OK,2013,147528803.7
OK,2014,5164184.4
OK,2015,123761302.6
OK,2016,71259302.45
OK,2017,280123141.3
OK,2018,6964635.51
OK,2019,52881911.52
OK,2020,159352.16
OR,2002,6141659.71
OR,2004,13238363.82
OR,2005,901337.36
OR,2006,15305023.31
OR,2007,80565116.36
OR,2009,14428760.14
OR,2011,12692615.54
OR,2012,19963244.99
OR,2014,8272848.04
OR,2016,38395810.83
OR,2017,21253034.07
OR,2019,28110621.66
OR,2020,24513989.85
PA,1999,14259440.38
PA,2001,8658544.91
PA,2003,58650938.11
PA,2004,110237915.2
PA,2005,28233947.75
PA,2006,107951509.9
PA,2007,13001562.36
PA,2010,58749230.74
PA,2011,243580939.2
PA,2013,32787587.09
PA,2016,95082362.75
PA,2018,103007799.3
PA,2020,9867774.98
RI,2003,2546416.25
RI,2005,9114630.19
RI,2007,754406.39
RI,2010,29586772.61
RI,2011,11113398.07
RI,2012,11476233.87
RI,2013,10473931.96
RI,2015,11743124.03
RI,2020,261092.88
SC,1999,26496382.68
SC,2000,11232962.48
SC,2003,5023186.31
SC,2004,40696459.49
SC,2005,5141771.19
SC,2006,14556615.88
SC,2014,264293618.4
SC,2015,153179208
SC,2016,314856695.7
SC,2017,43360122.01
SC,2018,128368231.5
SC,2019,41698453.36
SC,2020,24420453.17
SD,1999,1013697.54
SD,2000,2273588.85
SD,2001,6470787.27
SD,2004,1335677
SD,2005,33088481.95
SD,2006,4081696.96
SD,2007,7918835.72
SD,2008,24461124.11
SD,2009,7044186.36
SD,2010,103940871.7
SD,2011,69294061.73
SD,2013,70612173.57
SD,2014,14679126.39
SD,2015,4005175.4
SD,2017,13053306.03
SD,2019,41349100.22
TN,1999,39365674.48
TN,2000,4721837.36
TN,2001,4726094.9
TN,2002,13935872.8
TN,2003,104674843.2
TN,2004,7734284.9
TN,2005,34396972.56
TN,2006,16082352.83
TN,2008,20769035.48
TN,2009,29023061.72
TN,2010,259187723.1
TN,2011,120344757
TN,2014,17013054.33
TN,2015,46341509.73
TN,2016,5219660.59
TN,2017,42415559.44
TN,2019,26002480.32
TN,2020,7373675.4
TX,1998,53583003.69
TX,1999,14799889.57
TX,2000,4844006.6
TX,2001,614671633.9
TX,2002,36060913.42
TX,2003,29046507.22
TX,2005,881828327
TX,2006,53869314.62
TX,2007,104190570.2
TX,2008,2462707985
TX,2010,26094958.06
TX,2011,134420429.6
TX,2013,54322510.1
TX,2015,272604920.5
TX,2016,206627467.9
TX,2017,2456182818
TX,2019,69913602.27
TX,2020,926608337.8
UT,1999,656144.94
UT,2005,13310403.88
UT,2011,21811782.25
UT,2012,6216348.75
UT,2017,4477098.51
UT,2020,95725.71
VA,1999,25767275.11
VA,2000,17661543.53
VA,2001,14403200.96
VA,2002,16711254.19
VA,2003,286385549.2
VA,2004,27138089.55
VA,2005,264113.42
VA,2006,58249645.33
VA,2009,10177129.98
VA,2010,67214157.27
VA,2011,141076509.6
VA,2012,42414008.51
VA,2016,83058173.22
VA,2018,75817994.58
VA,2020,985916.42
VT,1999,1271231.07
VT,2000,3150258.77
VT,2001,2558837.29
VT,2002,2276457.73
VT,2003,1222588.04
VT,2004,2984320.52
VT,2007,10835772.58
VT,2008,8125922.72
VT,2009,1781638.39
VT,2010,2063957.7
VT,2011,267182704.8
VT,2012,1349637.47
VT,2013,10797061.05
VT,2014,10688039.44
VT,2015,6914929.79
VT,2017,15222012.41
VT,2018,11132848.77
VT,2019,3866319.75
VT,2020,17993227.7
WA,2001,86974566.01
WA,2003,11792413.62
WA,2005,1674681.06
WA,2006,46715904.07
WA,2007,120872392.8
WA,2009,104361118.9
WA,2011,10038792.2
WA,2012,44192460.51
WA,2014,62196031.54
WA,2015,59452598.92
WA,2016,47414347.75
WA,2017,38521802.25
WA,2018,430394.8
WA,2019,12151543.39
WA,2020,270685125.8
WI,1999,5158534.52
WI,2000,13923998.77
WI,2001,32225479.53
WI,2002,7283006.57
WI,2004,13915363.46
WI,2005,1188027.32
WI,2007,13140149.23
WI,2008,74055135.48
WI,2010,20702339.47
WI,2011,10853913.18
WI,2012,11282844.77
WI,2013,7818100.42
WI,2016,26441424.47
WI,2017,11844201.6
WI,2018,40313105.48
WI,2019,17903811.54
WI,2020,1218152.42
WV,2000,6622149.28
WV,2001,36140037.65
WV,2002,19839917.91
WV,2003,40829814.66
WV,2004,32993325.8
WV,2005,12174109.81
WV,2007,8713018.91
WV,2008,5299728.86
WV,2009,23080284.69
WV,2010,23662157.21
WV,2012,49944984.16
WV,2013,4375137.16
WV,2014,2178019.05
WV,2015,82196494.57
WV,2016,442167763.6
WV,2017,20276259.69
WV,2018,59951174.45
WV,2019,5969061.33
WV,2020,990362.97
WY,1999,915409.43
WY,2000,864466.54
WY,2010,3995482.25
WY,2011,7404860.46
WY,2015,3324047.5
WY,2017,12194564.58
WY,2020,269040.73
